iter	RMSE
0	8456.424707
1	8224.110398
2	7999.956133
3	7781.97933
4	7571.621497
5	7368.418848
6	7171.568758
7	6980.623178
8	6798.045601
9	6620.449107
10	6449.120162
11	6282.76404
12	6121.944642
13	5965.42926
14	5815.302834
15	5670.646606
16	5529.955844
17	5393.513877
18	5263.559415
19	5137.832703
20	5016.054128
21	4900.498726
22	4786.905238
23	4678.70282
24	4572.453958
25	4471.794312
26	4375.73616
27	4282.614024
28	4192.630353
29	4106.010639
30	4022.672809
31	3940.760915
32	3864.418048
33	3789.436766
34	3718.076043
35	3649.691404
36	3584.886911
37	3523.371275
38	3463.510843
39	3405.585983
40	3348.74705
41	3294.857312
42	3245.015023
43	3195.000231
44	3147.327888
45	3101.511438
46	3059.17705
47	3018.47532
48	2979.218278
49	2940.291357
50	2905.056771
51	2870.568703
52	2837.926993
53	2807.225493
54	2777.357838
55	2749.322675
56	2721.346863
57	2695.982521
58	2670.563645
59	2647.705645
60	2625.633713
61	2604.88464
62	2583.089012
63	2563.765409
64	2544.587631
65	2527.120868
66	2511.063466
67	2493.819426
68	2478.67575
69	2464.527539
70	2451.16239
71	2438.433205
72	2425.091158
73	2413.364184
74	2402.247565
75	2391.237545
76	2381.471982
77	2371.90526
78	2361.377154
79	2352.53798
80	2344.575692
81	2336.602902
82	2328.962369
83	2322.21049
84	2315.624909
85	2308.96668
86	2302.701825
87	2295.447947
88	2289.869342
89	2284.880483
90	2280.0229
91	2274.660562
92	2269.918456
93	2265.263546
94	2261.147876
95	2256.97926
96	2253.090585
97	2248.979364
98	2244.083922
99	2240.572269
100	2236.607991
101	2232.86074
102	2228.748393
103	2224.15463
104	2220.775662
105	2218.223582
106	2215.766049
107	2212.820996
108	2210.006265
109	2206.106346
110	2203.810282
111	2200.34377
112	2197.636872
113	2194.391708
114	2192.587887
115	2190.806819
116	2187.862519
117	2184.589974
118	2182.363808
119	2179.99154
120	2177.869517
121	2176.063722
122	2174.006385
123	2172.104421
124	2169.639882
125	2168.164843
126	2166.583207
127	2165.402682
128	2162.690126
129	2161.182139
130	2159.530426
131	2158.398232
132	2155.907813
133	2153.79313
134	2152.093423
135	2150.532038
136	2148.927594
137	2147.278622
138	2145.602333
139	2144.361575
140	2142.959899
141	2141.455135
142	2140.125372
143	2139.369646
144	2138.20358
145	2136.790945
146	2135.828405
147	2135.074556
148	2134.306561
149	2133.013276
150	2131.795689
151	2130.401874
152	2129.458168
153	2128.118446
154	2126.86873
155	2125.770178
156	2124.518967
157	2123.333783
158	2122.578781
159	2121.303211
160	2120.501847
161	2119.859028
162	2118.800684
163	2117.618636
164	2116.207401
165	2115.703441
166	2114.622684
167	2113.799367
168	2112.732244
169	2112.239338
170	2111.507968
171	2110.497877
172	2109.581337
173	2108.628516
174	2107.01821
175	2106.118418
176	2104.955313
177	2103.372133
178	2102.651094
179	2101.760372
180	2101.281189
181	2100.174571
182	2099.29989
183	2098.455816
184	2097.963688
185	2096.964716
186	2095.384571
187	2094.76238
188	2093.066705
189	2092.171296
190	2091.524008
191	2090.694206
192	2089.535954
193	2088.722865
194	2088.153494
195	2087.775081
196	2087.288439
197	2086.310934
198	2084.97418
199	2084.145529
200	2083.425666
201	2082.70251
202	2082.184606
203	2081.637133
204	2080.934275
205	2080.20784
206	2079.084212
207	2078.214268
208	2076.847937
209	2075.897435
210	2074.986995
211	2074.112007
212	2073.340527
213	2072.941678
214	2072.04166
215	2071.320172
216	2070.736969
217	2070.051003
218	2068.955608
219	2068.128442
220	2067.196815
221	2065.789883
222	2064.970839
223	2064.336588
224	2063.690732
225	2063.226973
226	2062.696124
227	2061.983458
228	2061.570134
229	2060.919448
230	2059.875463
231	2059.442876
232	2058.904026
233	2058.342439
234	2057.850711
235	2056.898114
236	2056.586516
237	2055.834831
238	2055.043115
239	2054.284398
240	2053.678847
241	2052.416186
242	2051.604814
243	2051.083583
244	2050.783467
245	2050.03315
246	2049.516785
247	2049.159223
248	2048.306077
249	2047.640699
250	2046.830673
251	2046.365659
252	2045.85692
253	2045.381298
254	2044.666224
255	2044.08323
256	2043.21707
257	2042.534957
258	2041.776307
259	2041.296016
260	2040.666993
261	2039.611128
262	2039.079878
263	2038.369666
264	2037.561045
265	2037.035188
266	2036.637075
267	2035.889151
268	2035.05545
269	2034.799335
270	2034.365873
271	2033.618791
272	2033.042578
273	2032.473315
274	2031.634978
275	2031.272542
276	2030.781702
277	2030.367271
278	2029.790797
279	2029.309001
280	2028.598124
281	2027.545984
282	2026.930299
283	2025.938196
284	2025.229602
285	2024.820784
286	2024.403558
287	2023.881512
288	2023.180039
289	2022.166233
290	2021.832784
291	2021.362778
292	2020.774386
293	2020.439506
294	2019.894002
295	2019.534509
296	2018.901369
297	2018.572361
298	2018.099431
299	2017.388049
300	2016.723143
301	2016.086585
302	2015.771675
303	2015.383956
304	2014.527678
305	2014.202135
306	2013.623497
307	2013.156573
308	2012.519731
309	2011.902773
310	2011.683359
311	2011.205221
312	2010.922483
313	2010.290153
314	2009.992574
315	2009.35941
316	2009.003165
317	2008.408987
318	2008.040095
319	2007.788653
320	2007.398023
321	2007.132039
322	2006.651511
323	2006.406469
324	2005.783562
325	2005.15256
326	2004.816714
327	2004.325344
328	2003.764114
329	2003.489539
330	2003.240729
331	2002.626273
332	2002.208277
333	2001.630875
334	2000.764281
335	2000.350431
336	1999.835089
337	1999.499151
338	1999.022739
339	1998.208841
340	1998.009028
341	1997.669832
342	1997.306436
343	1997.018341
344	1996.627132
345	1996.229369
346	1995.97592
347	1995.653188
348	1995.176684
349	1994.816187
350	1994.529659
351	1994.233077
352	1993.867087
353	1993.379149
354	1993.095643
355	1992.505537
356	1991.757165
357	1991.406185
358	1990.965503
359	1990.670911
360	1990.425915
361	1989.881994
362	1989.425474
363	1989.128451
364	1988.720275
365	1988.035403
366	1987.666409
367	1987.309445
368	1987.069494
369	1986.563792
370	1986.347132
371	1985.999372
372	1985.702023
373	1985.355462
374	1984.999494
375	1984.67248
376	1983.983575
377	1983.625512
378	1982.832404
379	1982.450247
380	1981.965729
381	1981.730419
382	1981.325862
383	1981.114772
384	1980.624858
385	1980.314381
386	1979.993461
387	1979.756994
388	1979.4848
389	1978.939436
390	1978.589801
391	1978.076058
392	1977.738911
393	1977.424169
394	1976.901728
395	1976.573229
396	1976.140886
397	1975.793592
398	1975.229141
399	1974.880763
400	1974.618047
401	1974.081696
402	1973.849034
403	1973.675491
404	1973.468681
405	1973.143121
406	1972.663891
407	1972.503719
408	1972.133567
409	1971.912437
410	1971.423853
411	1971.192536
412	1970.870712
413	1970.71793
414	1970.499351
415	1970.017983
416	1969.566831
417	1969.264426
418	1968.842204
419	1968.600009
420	1968.124494
421	1967.640664
422	1967.464874
423	1967.11162
424	1966.679107
425	1966.377743
426	1966.029613
427	1965.333011
428	1964.927256
429	1964.482302
430	1964.217335
431	1963.820673
432	1963.512592
433	1963.319633
434	1963.054512
435	1962.665203
436	1962.459287
437	1962.058201
438	1961.874958
439	1961.578547
440	1960.996383
441	1960.689055
442	1960.312536
443	1960.079529
444	1959.923687
445	1959.569369
446	1959.244659
447	1958.959179
448	1958.673719
449	1958.414578
450	1958.136524
451	1957.827707
452	1957.534394
453	1957.100163
454	1956.90931
455	1956.517904
456	1956.336716
457	1956.057743
458	1955.649681
459	1955.114567
460	1954.745932
461	1954.378336
462	1954.002051
463	1953.75323
464	1953.359185
465	1952.85735
466	1952.56801
467	1952.204693
468	1952.024869
469	1951.682768
470	1951.338577
471	1950.993371
472	1950.756896
473	1950.386733
474	1950.229176
475	1950.066487
476	1949.680939
477	1949.429363
478	1949.074192
479	1948.7484
480	1948.333934
481	1948.077287
482	1947.875093
483	1947.554209
484	1947.295753
485	1946.839003
