iter	RMSE
0	8460.285549
1	8227.947649
2	8003.763264
3	7785.758258
4	7575.374696
5	7372.163181
6	7175.29135
7	6984.301965
8	6801.719532
9	6624.117127
10	6452.785379
11	6286.43344
12	6125.606521
13	5969.037793
14	5818.913804
15	5674.243598
16	5534.661748
17	5398.157749
18	5268.239436
19	5142.564618
20	5021.519352
21	4906.001532
22	4792.263
23	4684.081763
24	4577.657565
25	4477.06978
26	4380.529005
27	4287.534771
28	4197.071992
29	4110.491726
30	4027.119573
31	3945.103452
32	3869.085965
33	3794.104929
34	3722.692496
35	3654.368615
36	3589.569235
37	3527.510668
38	3467.684815
39	3409.861054
40	3353.137537
41	3299.774478
42	3249.927028
43	3200.029551
44	3153.814742
45	3108.149442
46	3063.581464
47	3021.046293
48	2981.782989
49	2944.376905
50	2909.214018
51	2875.412413
52	2842.764109
53	2811.389498
54	2781.545416
55	2753.533036
56	2725.592242
57	2701.05615
58	2675.676956
59	2652.875482
60	2631.208944
61	2608.348704
62	2586.654596
63	2567.349962
64	2549.329378
65	2531.870577
66	2515.827688
67	2499.726451
68	2484.612792
69	2470.748762
70	2457.305264
71	2444.553574
72	2431.205519
73	2419.471167
74	2408.380089
75	2397.616973
76	2387.59029
77	2378.026297
78	2367.388254
79	2357.334883
80	2349.427501
81	2341.587355
82	2334.267497
83	2327.581075
84	2320.860633
85	2314.200474
86	2307.916196
87	2300.702409
88	2295.045569
89	2290.058624
90	2283.714223
91	2278.43846
92	2273.654589
93	2268.383738
94	2264.276182
95	2260.425358
96	2256.733647
97	2252.569096
98	2247.968781
99	2244.496236
100	2240.524536
101	2236.781022
102	2232.630695
103	2228.018038
104	2224.670129
105	2222.123905
106	2219.465215
107	2216.714104
108	2213.544678
109	2210.81427
110	2208.721796
111	2205.358183
112	2202.465751
113	2200.339109
114	2198.547507
115	2196.791791
116	2194.151807
117	2190.762883
118	2188.531657
119	2186.127076
120	2184.043773
121	2180.981326
122	2179.527733
123	2177.640265
124	2174.718368
125	2173.436121
126	2171.807329
127	2169.313207
128	2166.614462
129	2165.368089
130	2163.07046
131	2160.571658
132	2158.838777
133	2157.017162
134	2155.371733
135	2153.85339
136	2152.206033
137	2150.610974
138	2148.890835
139	2148.004393
140	2146.640151
141	2145.19513
142	2143.693727
143	2142.942766
144	2141.844443
145	2140.426802
146	2138.988969
147	2137.969797
148	2137.207436
149	2135.891522
150	2134.65262
151	2133.31285
152	2132.651583
153	2131.514604
154	2130.207921
155	2129.076074
156	2127.716895
157	2126.440299
158	2125.577645
159	2124.259653
160	2123.397465
161	2122.749526
162	2121.666726
163	2120.161327
164	2119.231049
165	2118.742499
166	2117.728422
167	2116.943301
168	2116.121157
169	2115.3228
170	2114.79877
171	2113.851312
172	2112.776206
173	2112.033005
174	2110.910288
175	2109.701305
176	2108.428368
177	2107.506064
178	2107.014598
179	2106.298327
180	2105.704252
181	2104.599012
182	2103.510141
183	2102.366829
184	2101.85949
185	2100.812832
186	2099.087041
187	2098.436825
188	2097.583206
189	2096.372106
190	2095.805926
191	2094.971078
192	2093.850642
193	2093.014101
194	2092.410804
195	2091.82667
196	2091.184426
197	2089.931956
198	2088.983674
199	2087.967489
200	2087.347746
201	2086.58392
202	2086.076205
203	2085.524947
204	2084.765852
205	2083.87432
206	2082.823496
207	2081.499639
208	2080.554818
209	2079.328911
210	2078.437889
211	2077.519988
212	2076.663819
213	2075.990413
214	2074.999477
215	2074.145468
216	2073.560671
217	2072.856568
218	2072.02728
219	2071.204865
220	2070.509963
221	2069.118035
222	2068.271602
223	2067.751803
224	2067.056739
225	2066.52835
226	2065.988746
227	2065.272346
228	2064.900532
229	2064.217559
230	2063.408912
231	2062.98251
232	2062.455572
233	2062.045053
234	2061.377868
235	2060.416156
236	2059.637732
237	2058.899774
238	2058.304905
239	2057.073615
240	2056.439732
241	2056.131872
242	2055.408429
243	2054.642274
244	2054.35977
245	2053.606744
246	2053.095067
247	2052.602536
248	2051.619837
249	2050.769115
250	2049.98152
251	2049.101749
252	2048.26009
253	2047.802637
254	2047.151117
255	2046.78438
256	2046.09506
257	2045.286538
258	2044.613704
259	2043.676792
260	2043.159534
261	2042.482757
262	2041.950956
263	2041.522952
264	2040.815447
265	2040.26531
266	2039.895032
267	2039.207485
268	2038.342503
269	2038.139602
270	2037.583621
271	2036.541494
272	2035.731435
273	2035.13537
274	2034.360397
275	2033.979233
276	2033.541161
277	2033.128785
278	2032.349874
279	2031.697326
280	2030.978972
281	2029.997586
282	2029.418578
283	2028.808929
284	2028.02706
285	2027.602296
286	2027.204712
287	2026.697565
288	2026.045861
289	2025.29146
290	2024.894642
291	2024.559971
292	2023.97546
293	2023.622089
294	2023.149434
295	2022.554504
296	2022.076326
297	2021.758347
298	2021.437988
299	2020.938396
300	2020.307469
301	2019.615665
302	2019.050783
303	2018.382751
304	2017.757146
305	2017.304082
306	2016.739546
307	2016.250792
308	2015.615039
309	2015.176006
310	2014.924282
311	2014.364474
312	2014.070657
313	2013.370204
314	2012.482186
315	2011.950017
316	2011.624026
317	2011.008397
318	2010.623641
319	2010.336928
320	2010.049478
321	2009.782
322	2009.293796
323	2009.050758
324	2008.48533
325	2007.942259
326	2007.461571
327	2007.064538
328	2006.472949
329	2005.925437
330	2005.670885
331	2005.060802
332	2004.80152
333	2004.315514
334	2003.954191
335	2003.373716
336	2002.942802
337	2002.528285
338	2002.025356
339	2001.167258
340	2000.861617
341	2000.538226
342	2000.165969
343	1999.885833
344	1999.59732
345	1999.21465
346	1998.82092
347	1998.504906
348	1998.044978
349	1997.673726
350	1997.376471
351	1996.828779
352	1996.588452
353	1995.907942
354	1995.525669
355	1994.967549
356	1994.189878
357	1993.700827
358	1993.325952
359	1993.070221
360	1992.820536
361	1992.322595
362	1992.089901
363	1991.783912
364	1991.311675
365	1990.586593
366	1990.152777
367	1989.827633
368	1989.311908
369	1988.892954
370	1988.629736
371	1988.260969
372	1987.861463
373	1987.502213
374	1986.986998
375	1986.662189
376	1985.988347
377	1985.506865
378	1984.761183
379	1984.55532
380	1984.267412
381	1983.805547
382	1983.369506
383	1983.162455
384	1982.792213
385	1982.511197
386	1982.39757
387	1982.206291
388	1981.918609
389	1981.53402
390	1981.169074
391	1980.89819
392	1980.555259
393	1980.245656
394	1979.904761
395	1979.5612
396	1979.194203
397	1978.847627
398	1978.279315
399	1977.924832
400	1977.612516
401	1977.032518
402	1976.849659
403	1976.524257
404	1976.216728
405	1975.764962
406	1975.470064
407	1975.300652
408	1974.929174
409	1974.716036
410	1974.286788
411	1974.061443
412	1973.728851
413	1973.18908
414	1973.078953
415	1972.642169
416	1972.40675
417	1972.246813
418	1971.837378
419	1971.550521
420	1971.082843
421	1970.636097
422	1970.274956
423	1969.965997
424	1969.527233
425	1969.220634
426	1968.834486
427	1968.110132
428	1967.783285
429	1967.53293
430	1967.275356
431	1966.934391
432	1966.778517
433	1966.625944
434	1966.354255
435	1966.070543
436	1965.856734
437	1965.407027
438	1965.188229
439	1964.832361
440	1964.247035
441	1964.056738
442	1963.837411
443	1963.449315
444	1963.130211
445	1962.801033
446	1962.436851
447	1962.039799
448	1961.750606
449	1961.523052
450	1961.172073
451	1960.624929
452	1960.358947
453	1960.170527
454	1959.979337
455	1959.5903
456	1959.481596
457	1959.303254
458	1958.958489
459	1958.414191
460	1958.126887
461	1957.821165
462	1957.404266
463	1957.084368
464	1956.789853
465	1956.274845
466	1955.9631
467	1955.643036
468	1955.491044
469	1955.222595
470	1954.933677
471	1954.542527
472	1954.221562
473	1953.769163
474	1953.608181
475	1953.358381
476	1952.956827
477	1952.685008
478	1952.240461
479	1951.880904
480	1951.624719
481	1951.408177
482	1951.204724
483	1950.981929
484	1950.751164
485	1950.520858
486	1950.345272
487	1949.975241
488	1949.558149
489	1949.279644
490	1948.895924
491	1948.662119
492	1948.390881
493	1948.089922
494	1947.83422
495	1947.681512
496	1947.411802
497	1947.205159
498	1946.899073
499	1946.741316
500	1946.402926
501	1946.206929
502	1946.062445
503	1945.781483
504	1945.495782
505	1945.155036
506	1944.916955
507	1944.694035
508	1944.298087
509	1944.074728
510	1943.823626
511	1943.499104
512	1943.233942
513	1943.089524
514	1942.899411
515	1942.721397
516	1942.433972
517	1942.297445
518	1942.06897
519	1941.60559
520	1941.197666
521	1940.92862
522	1940.791905
523	1940.522657
524	1940.288623
525	1940.11282
526	1939.972825
527	1939.713065
528	1939.324912
529	1939.121145
530	1938.930461
531	1938.66853
532	1938.414124
533	1938.213178
534	1937.83228
535	1937.400205
536	1937.192089
537	1937.060133
538	1936.918904
539	1936.708665
540	1936.460852
541	1936.235465
542	1935.971221
543	1935.728875
544	1935.519716
545	1935.371069
546	1935.054707
547	1934.702765
548	1934.449636
549	1934.205063
550	1933.832707
551	1933.433666
552	1933.098398
553	1932.929214
554	1932.675292
555	1932.524775
556	1932.288033
557	1932.084397
558	1931.855458
559	1931.49062
560	1931.366229
561	1931.147629
562	1930.976089
563	1930.705323
564	1930.354657
565	1930.090044
566	1929.817326
567	1929.601088
568	1929.291272
569	1929.093613
570	1928.860165
571	1928.69459
572	1928.488533
573	1928.162184
574	1927.80368
575	1927.677314
576	1927.594209
577	1927.46881
578	1927.246224
579	1927.073301
580	1926.816073
581	1926.617951
582	1926.034892
583	1925.890236
584	1925.498551
585	1925.238789
586	1925.054064
587	1924.718217
588	1924.376026
589	1924.182346
590	1923.703184
591	1923.440987
592	1923.321224
593	1922.994977
594	1922.878463
595	1922.714223
596	1922.568283
597	1922.237741
598	1921.997746
599	1921.759159
600	1921.523812
601	1921.206421
602	1920.90571
603	1920.694708
604	1920.453222
605	1920.19292
606	1919.971063
607	1919.656396
608	1919.572178
609	1919.416418
610	1919.215348
611	1919.052465
612	1918.880544
613	1918.73997
614	1918.468429
615	1918.222549
616	1918.079602
617	1917.755052
618	1917.599071
619	1917.327808
620	1916.96134
621	1916.783725
622	1916.585524
623	1916.34081
624	1916.066884
625	1915.960357
626	1915.787629
627	1915.643468
628	1915.496468
629	1915.265205
630	1915.030569
631	1914.907651
632	1914.713196
633	1914.454934
634	1914.11277
635	1913.905864
636	1913.558619
637	1913.423685
638	1913.096195
639	1912.912661
640	1912.775253
641	1912.61494
642	1912.399147
643	1912.29622
644	1912.069885
645	1911.735102
646	1911.391613
647	1911.238093
648	1910.988466
649	1910.805708
650	1910.63754
651	1910.415041
652	1910.312792
653	1910.006722
654	1909.787461
655	1909.632232
656	1909.447826
657	1909.262431
658	1909.150989
659	1908.972843
660	1908.865772
661	1908.771456
662	1908.57013
663	1908.398518
664	1908.193808
665	1907.905087
666	1907.738226
667	1907.629474
668	1907.422673
669	1907.016377
670	1906.850415
671	1906.643352
672	1906.46541
673	1906.372106
674	1906.18288
675	1905.833889
676	1905.617957
677	1905.458486
678	1905.250899
679	1904.987084
680	1904.860393
681	1904.712096
682	1904.597645
683	1904.422316
684	1904.280181
685	1904.123483
686	1904.031205
687	1903.852164
688	1903.649449
689	1903.519825
690	1903.394666
691	1903.341044
692	1903.172495
693	1903.004446
694	1902.833839
695	1902.629382
696	1902.423289
697	1902.315162
698	1902.163048
699	1901.866649
700	1901.3326
701	1901.127289
702	1900.820913
703	1900.645246
704	1900.444699
705	1900.280752
706	1900.072284
707	1899.750523
708	1899.576475
709	1899.19317
710	1899.049781
711	1898.826125
712	1898.720887
713	1898.361031
714	1898.186009
715	1898.055719
716	1897.899284
717	1897.727055
718	1897.521206
719	1897.438507
720	1897.119534
721	1896.994036
722	1896.709056
723	1896.612471
724	1896.310733
725	1896.2041
726	1896.02506
727	1895.851749
728	1895.747533
729	1895.607607
730	1895.435327
731	1895.352676
732	1895.202432
733	1894.701549
734	1894.537097
735	1894.375408
736	1894.217552
737	1894.084863
738	1893.974654
739	1893.788869
740	1893.650005
741	1893.559779
742	1893.339197
743	1893.199366
744	1892.899527
745	1892.740597
746	1892.614543
747	1892.237723
748	1892.042737
749	1891.910212
750	1891.759545
751	1891.615748
752	1891.451014
753	1891.401968
754	1891.249846
755	1890.960761
756	1890.800387
757	1890.624167
758	1890.343858
759	1889.872007
760	1889.723158
761	1889.568074
762	1889.371813
763	1889.236699
764	1889.086248
765	1888.820707
766	1888.655694
767	1888.471529
768	1888.378016
769	1888.317727
770	1888.157692
771	1888.020072
772	1887.87487
773	1887.74178
774	1887.518049
775	1887.320902
776	1887.134968
777	1886.891763
778	1886.76294
779	1886.482218
780	1886.257268
781	1886.044936
782	1885.916814
783	1885.840707
784	1885.661259
785	1885.511153
786	1885.43851
787	1885.286103
788	1885.130579
789	1884.885634
790	1884.773844
791	1884.616764
792	1884.177851
793	1884.04431
794	1883.914477
795	1883.711911
796	1883.62787
797	1883.469834
798	1883.206562
799	1883.059929
800	1882.904869
801	1882.799277
802	1882.634835
803	1882.365669
804	1882.216531
805	1882.102552
806	1882.031522
807	1881.90806
808	1881.55919
809	1881.263352
810	1881.157144
811	1881.016664
812	1880.919104
813	1880.770099
814	1880.585346
815	1880.447828
816	1880.339231
817	1880.185342
818	1880.05677
819	1879.927925
820	1879.861915
821	1879.693698
822	1879.473156
823	1879.307813
824	1879.086955
825	1878.867956
826	1878.624792
827	1878.528102
828	1878.404363
829	1878.269424
830	1878.0684
831	1877.980621
832	1877.860462
833	1877.736796
834	1877.580024
835	1877.450658
836	1877.317853
837	1877.088206
838	1876.948016
839	1876.887254
840	1876.821316
841	1876.631005
842	1876.360555
843	1876.173472
844	1876.014327
845	1875.895924
846	1875.637852
847	1875.542377
848	1875.451823
849	1875.331385
850	1875.187441
851	1875.055566
852	1874.853839
853	1874.603335
854	1874.392614
855	1874.275446
856	1874.008916
857	1873.910305
858	1873.762871
859	1873.680285
860	1873.552048
861	1873.423882
862	1873.315419
863	1873.156607
864	1873.060664
865	1873.008231
866	1872.883783
867	1872.53868
868	1872.397963
869	1872.263856
870	1872.017683
871	1871.886523
872	1871.601726
873	1871.379993
874	1871.20151
875	1871.093978
876	1870.925194
877	1870.749697
878	1870.578807
879	1870.483505
880	1870.345639
881	1870.177037
882	1870.04445
883	1869.804894
884	1869.677201
885	1869.543822
886	1869.458137
887	1869.353568
888	1869.270317
889	1869.043411
890	1868.714462
891	1868.601883
892	1868.353034
893	1868.240628
894	1868.117757
895	1867.947454
896	1867.789416
897	1867.733395
898	1867.597612
899	1867.499806
900	1867.345325
901	1867.104175
902	1866.857836
903	1866.750056
904	1866.651619
905	1866.510177
906	1866.27803
907	1866.044398
908	1865.616312
909	1865.492364
910	1865.326778
911	1865.178718
912	1865.141027
913	1865.013729
914	1864.750158
915	1864.528485
916	1864.407434
917	1864.303569
918	1864.195223
919	1864.040874
920	1863.876594
921	1863.612983
922	1863.523569
923	1863.119346
924	1863.004889
925	1862.92797
926	1862.741003
927	1862.416812
928	1862.194449
929	1862.051327
930	1861.955499
931	1861.846722
932	1861.735116
933	1861.653474
934	1861.507323
935	1861.39531
936	1861.330133
937	1861.211849
938	1861.122714
939	1861.023114
940	1860.777735
941	1860.648778
942	1860.553642
943	1860.378179
944	1860.194025
945	1860.111954
946	1859.877185
947	1859.741925
948	1859.600469
949	1859.448554
950	1859.3718
951	1858.998306
952	1858.805712
953	1858.594107
954	1858.492225
955	1858.357837
956	1858.2391
957	1858.0389
958	1857.91502
959	1857.774352
960	1857.629709
961	1857.515367
962	1857.398799
963	1857.207136
964	1857.118161
965	1856.953148
966	1856.794303
967	1856.684144
968	1856.561422
969	1856.467281
970	1856.4161
971	1856.308747
972	1855.967256
973	1855.855107
974	1855.609382
975	1855.49381
976	1855.391317
977	1855.250447
978	1855.157538
979	1855.000424
980	1854.8716
981	1854.699998
982	1854.579583
983	1854.528988
984	1854.430613
985	1854.266372
986	1854.129652
987	1853.972537
988	1853.85974
989	1853.723704
990	1853.590432
991	1853.483388
992	1853.358103
993	1853.17972
994	1853.090657
995	1853.037827
996	1852.956253
997	1852.76998
998	1852.686459
999	1852.515213
