iter	RMSE
0	8458.729282
1	8226.482237
2	8002.390461
3	7784.478275
4	7573.497899
5	7370.357522
6	7173.677613
7	6983.466763
8	6798.808891
9	6620.506604
10	6449.138619
11	6281.857102
12	6120.776603
13	5965.591658
14	5816.078875
15	5671.176792
16	5532.068317
17	5396.706126
18	5266.493592
19	5141.079673
20	5019.450698
21	4903.554818
22	4790.152071
23	4681.374665
24	4576.561189
25	4475.89391
26	4377.666044
27	4284.376543
28	4195.224231
29	4108.744272
30	4023.948673
31	3944.422109
32	3868.268601
33	3794.837375
34	3724.508693
35	3656.472933
36	3590.689052
37	3528.530274
38	3466.555725
39	3408.960156
40	3353.86204
41	3301.793602
42	3251.232705
43	3202.525345
44	3156.175422
45	3111.389587
46	3068.944307
47	3028.772804
48	2989.263726
49	2951.60595
50	2916.41359
51	2882.824902
52	2850.665459
53	2819.684656
54	2790.624314
55	2762.984764
56	2736.74684
57	2711.030395
58	2686.674147
59	2662.218278
60	2638.3374
61	2615.668341
62	2594.412845
63	2575.442589
64	2557.718789
65	2540.363302
66	2523.843846
67	2508.261808
68	2493.619171
69	2479.797043
70	2466.458012
71	2453.273997
72	2441.622261
73	2430.029934
74	2417.879593
75	2405.620883
76	2395.636745
77	2384.498725
78	2375.760941
79	2365.63947
80	2357.37894
81	2349.770576
82	2341.861129
83	2335.10566
84	2327.988806
85	2321.829747
86	2315.285171
87	2309.155822
88	2302.120926
89	2296.673535
90	2291.386509
91	2286.293113
92	2281.538972
93	2275.732438
94	2271.167976
95	2266.874348
96	2262.77538
97	2258.951142
98	2255.584599
99	2251.901202
100	2248.704058
101	2245.22419
102	2240.490801
103	2237.152481
104	2232.912431
105	2230.177704
106	2226.974174
107	2224.599783
108	2221.962818
109	2219.44694
110	2216.2519
111	2213.636293
112	2209.868847
113	2207.474234
114	2205.636009
115	2203.840497
116	2201.568389
117	2199.221641
118	2197.360611
119	2194.136543
120	2192.023658
121	2189.694855
122	2187.129275
123	2185.074299
124	2182.110969
125	2180.24324
126	2178.294899
127	2177.026559
128	2175.44399
129	2173.815943
130	2172.42472
131	2171.150976
132	2169.509528
133	2168.636363
134	2166.029974
135	2164.474894
136	2162.890194
137	2161.664396
138	2159.245173
139	2157.979698
140	2155.727856
141	2154.835482
142	2153.702104
143	2151.568543
144	2150.183554
145	2147.985825
146	2146.391617
147	2145.600355
148	2144.291031
149	2143.306748
150	2141.285148
151	2140.57433
152	2139.735497
153	2138.47777
154	2137.321173
155	2136.1861
156	2135.029966
157	2134.281435
158	2132.976093
159	2131.33637
160	2130.43404
161	2129.735216
162	2128.694755
163	2127.4561
164	2126.748628
165	2125.924425
166	2125.142971
167	2123.639271
168	2122.408585
169	2121.121241
170	2120.015204
171	2119.435379
172	2118.925784
173	2117.959497
174	2116.904528
175	2116.188844
176	2115.047374
177	2113.327472
178	2112.439994
179	2112.008336
180	2110.712119
181	2109.106528
182	2108.280524
183	2107.741839
184	2106.868678
185	2106.147545
186	2105.12162
187	2104.603057
188	2103.60809
189	2102.469388
190	2101.514345
191	2100.613326
192	2100.232265
193	2099.267676
194	2098.377896
195	2097.387611
196	2096.367432
197	2095.777606
198	2094.858227
199	2094.28907
200	2093.421706
201	2092.612416
202	2091.982996
203	2090.423797
204	2089.926349
205	2089.187347
206	2088.626573
207	2087.678126
208	2086.721575
209	2086.139818
210	2084.721744
211	2083.663367
212	2082.607548
213	2082.106319
214	2081.591524
215	2080.474985
216	2079.803751
217	2078.892214
218	2078.123982
219	2077.659373
220	2077.316784
221	2076.822278
222	2075.961173
223	2075.023211
224	2074.44022
225	2073.628363
226	2072.643245
227	2071.709644
228	2070.99568
229	2070.476679
230	2069.527616
231	2068.463472
232	2067.769839
233	2067.028109
234	2066.428368
235	2066.105936
236	2065.40374
237	2064.867066
238	2064.486127
239	2064.02615
240	2063.665756
241	2062.97005
242	2062.149749
243	2061.509875
244	2060.597652
245	2059.955743
246	2059.43015
247	2058.949144
248	2057.67541
249	2057.180024
250	2056.531428
251	2055.941836
252	2055.35645
253	2054.816561
254	2054.394638
255	2053.840591
256	2053.102267
257	2052.360533
258	2051.984762
259	2051.383456
260	2050.820059
261	2050.088044
262	2049.314511
263	2048.865772
264	2048.154442
265	2047.388145
266	2047.035522
267	2046.448616
268	2045.579064
269	2044.86011
270	2044.372965
271	2043.784298
272	2043.356988
273	2042.938183
274	2042.406284
275	2041.854523
276	2041.52234
277	2040.882402
278	2040.27874
279	2039.731791
280	2038.962374
281	2038.28164
282	2037.868394
283	2037.208218
284	2036.776142
285	2036.047119
286	2035.313061
287	2034.661314
288	2034.277988
289	2033.89753
290	2033.399419
291	2033.045506
292	2032.299286
293	2031.91249
294	2031.438483
295	2030.663998
296	2030.290051
297	2029.782694
298	2029.28338
299	2028.86841
300	2028.432361
301	2028.087636
302	2027.608418
303	2026.55246
304	2026.008817
305	2025.497019
306	2025.022595
307	2024.561742
308	2023.941972
309	2023.307652
310	2022.938183
311	2022.480053
312	2022.003197
313	2021.574313
314	2021.262962
315	2020.905315
316	2020.347446
317	2019.758698
318	2019.075005
319	2018.645457
320	2018.007784
321	2017.358473
322	2016.858555
323	2016.28415
324	2015.68424
325	2015.368003
326	2014.765173
327	2014.268104
328	2013.31365
329	2012.82289
330	2012.447282
331	2011.969841
332	2011.558048
333	2011.254883
334	2010.89804
335	2010.535942
336	2010.277879
337	2009.956319
338	2009.511288
339	2008.950188
340	2008.734862
341	2008.126243
342	2007.668842
