iter	Passed	Remaining
0	14	14550
1	28	14363
2	44	14721
3	58	14493
4	70	14104
5	84	13939
6	97	13798
7	109	13622
8	138	15207
9	151	15001
10	165	14908
11	180	14868
12	193	14712
13	206	14554
14	222	14597
15	242	14905
16	257	14884
17	270	14772
18	284	14694
19	298	14626
20	311	14502
21	323	14371
22	336	14285
23	350	14239
24	363	14189
25	376	14122
26	390	14087
27	406	14113
28	420	14075
29	433	14004
30	447	13980
31	460	13919
32	472	13842
33	484	13771
34	497	13724
35	512	13720
36	525	13671
37	543	13749
38	555	13691
39	569	13660
40	582	13631
41	595	13573
42	608	13532
43	625	13581
44	637	13535
45	650	13489
46	663	13447
47	675	13406
48	689	13389
49	714	13579
50	726	13522
51	739	13486
52	754	13472
53	767	13443
54	779	13398
55	793	13369
56	806	13347
57	819	13314
58	833	13292
59	846	13256
60	858	13213
61	873	13210
62	886	13179
63	899	13150
64	911	13114
65	926	13105
66	939	13076
67	951	13044
68	964	13019
69	977	12987
70	991	12978
71	1006	12969
72	1019	12947
73	1032	12920
74	1045	12898
75	1059	12877
76	1079	12937
77	1091	12907
78	1104	12881
79	1119	12877
80	1133	12855
81	1145	12827
82	1158	12799
83	1174	12809
84	1187	12784
85	1201	12765
86	1214	12741
87	1227	12721
88	1242	12720
89	1256	12705
90	1270	12686
91	1282	12662
92	1297	12655
93	1323	12755
94	1336	12735
95	1350	12717
96	1364	12706
97	1378	12685
98	1391	12660
99	1403	12634
100	1419	12634
101	1432	12615
102	1445	12591
103	1459	12571
104	1475	12573
105	1490	12567
106	1503	12550
107	1516	12527
108	1530	12511
109	1545	12504
110	1558	12479
111	1570	12453
112	1583	12432
113	1597	12418
114	1612	12412
115	1625	12391
116	1640	12380
117	1660	12408
118	1676	12412
119	1689	12391
120	1703	12372
121	1716	12356
122	1731	12346
123	1749	12361
124	1762	12335
125	1775	12312
126	1789	12299
127	1802	12279
128	1815	12255
129	1842	12330
130	1857	12319
131	1870	12298
132	1882	12272
133	1895	12252
134	1909	12237
135	1923	12218
136	1936	12200
137	1950	12182
138	1963	12164
139	1976	12143
140	1989	12120
141	2003	12102
142	2017	12091
143	2032	12082
144	2046	12066
145	2059	12044
146	2072	12024
147	2086	12013
148	2107	12035
149	2120	12015
150	2132	11992
151	2147	11979
152	2161	11968
153	2174	11948
154	2187	11927
155	2202	11913
156	2216	11903
157	2230	11887
158	2243	11868
159	2256	11844
160	2270	11831
161	2283	11810
162	2296	11792
163	2308	11770
164	2322	11751
165	2336	11738
166	2349	11720
167	2362	11701
168	2391	11758
169	2406	11750
170	2419	11731
171	2433	11713
172	2446	11697
173	2461	11684
174	2474	11667
175	2488	11648
176	2500	11626
177	2514	11612
178	2528	11595
179	2542	11581
180	2555	11561
181	2567	11541
182	2587	11552
183	2601	11539
184	2615	11523
185	2633	11526
186	2646	11505
187	2659	11487
188	2672	11468
189	2687	11455
190	2699	11434
191	2713	11420
192	2727	11402
193	2742	11393
194	2755	11374
195	2768	11354
196	2784	11351
197	2799	11338
198	2813	11325
199	2826	11305
200	2840	11291
201	2853	11273
202	2868	11262
203	2881	11243
204	2894	11226
205	2907	11206
206	2921	11190
207	2937	11183
208	2949	11163
209	2967	11164
210	2982	11151
211	2997	11140
212	3010	11123
213	3023	11104
214	3035	11084
215	3048	11065
216	3063	11054
217	3078	11044
218	3092	11027
219	3107	11015
220	3120	10998
221	3133	10980
222	3147	10965
223	3159	10946
224	3172	10926
225	3198	10953
226	3211	10936
227	3224	10919
228	3237	10901
229	3250	10882
230	3265	10869
231	3278	10853
232	3291	10835
233	3304	10816
234	3317	10798
235	3333	10791
236	3346	10772
237	3359	10755
238	3372	10737
239	3386	10725
240	3400	10710
241	3414	10694
242	3427	10678
243	3443	10670
244	3457	10654
245	3470	10635
246	3483	10619
247	3497	10604
248	3511	10591
249	3524	10574
250	3537	10557
251	3551	10541
252	3566	10529
253	3578	10511
254	3604	10532
255	3619	10520
256	3632	10502
257	3645	10485
258	3658	10467
259	3671	10450
260	3687	10441
261	3700	10422
262	3727	10444
263	3743	10436
264	3755	10417
265	3768	10399
266	3781	10381
267	3803	10387
268	3817	10372
269	3830	10356
270	3843	10339
271	3856	10322
272	3869	10305
273	3884	10293
274	3897	10274
275	3910	10257
276	3934	10270
277	3948	10255
278	3961	10238
279	3974	10220
280	3988	10204
281	4002	10191
282	4016	10176
283	4029	10159
284	4042	10142
285	4059	10133
286	4071	10115
287	4084	10097
288	4097	10079
289	4116	10078
290	4130	10063
291	4142	10045
292	4155	10026
293	4169	10011
294	4183	9996
295	4196	9981
296	4221	9992
297	4236	9978
298	4249	9963
299	4262	9945
300	4275	9929
301	4288	9911
302	4305	9903
303	4318	9887
304	4332	9871
305	4345	9855
306	4359	9841
307	4373	9826
308	4386	9810
309	4400	9793
310	4414	9780
311	4429	9766
312	4442	9749
313	4455	9734
314	4468	9716
315	4482	9701
316	4497	9690
317	4510	9673
318	4523	9657
319	4536	9641
320	4551	9628
321	4564	9611
322	4577	9594
323	4591	9579
324	4606	9566
325	4619	9550
326	4632	9534
327	4645	9518
328	4658	9501
329	4671	9485
330	4685	9471
331	4699	9455
332	4729	9473
333	4743	9457
334	4756	9441
335	4769	9426
336	4785	9414
337	4799	9400
338	4813	9385
339	4829	9373
340	4847	9368
341	4867	9364
342	4882	9352
343	4898	9341
344	4914	9331
345	4931	9321
346	4957	9329
347	4972	9316
348	4990	9308
349	5007	9298
350	5025	9291
351	5040	9278
352	5057	9270
353	5082	9274
354	5096	9260
355	5112	9248
356	5127	9235
357	5141	9220
358	5154	9203
359	5168	9188
360	5185	9178
361	5200	9165
362	5218	9158
363	5233	9144
364	5248	9131
365	5264	9118
366	5279	9106
367	5297	9097
368	5313	9086
369	5329	9074
370	5345	9063
371	5363	9054
372	5378	9041
