iter	Passed	Remaining
0	15	15589
1	28	14470
2	42	14142
3	70	17678
4	83	16547
5	95	15799
6	106	15127
7	118	14740
8	144	15858
9	155	15424
10	176	15910
11	189	15618
12	202	15351
13	214	15140
14	229	15100
15	242	14900
16	255	14758
17	268	14629
18	281	14515
19	294	14407
20	306	14293
21	319	14187
22	331	14091
23	345	14045
24	357	13951
25	371	13916
26	384	13846
27	396	13775
28	410	13737
29	423	13701
30	436	13628
31	464	14053
32	477	13981
33	489	13919
34	502	13844
35	514	13777
36	527	13719
37	539	13668
38	552	13618
39	565	13570
40	578	13528
41	590	13478
42	603	13431
43	616	13390
44	629	13349
45	641	13301
46	653	13256
47	666	13213
48	678	13171
49	691	13138
50	706	13152
51	723	13180
52	737	13182
53	752	13184
54	768	13205
55	784	13221
56	799	13231
57	814	13232
58	829	13227
59	842	13206
60	855	13166
61	869	13155
62	894	13305
63	907	13271
64	920	13242
65	933	13214
66	946	13173
67	959	13148
68	971	13112
69	984	13075
70	996	13042
71	1009	13007
72	1021	12975
73	1034	12944
74	1047	12920
75	1060	12888
76	1072	12858
77	1085	12830
78	1097	12797
79	1110	12769
80	1123	12743
81	1135	12715
82	1148	12686
83	1171	12775
84	1184	12745
85	1196	12719
86	1209	12690
87	1223	12676
88	1236	12656
89	1249	12628
90	1262	12610
91	1274	12581
92	1287	12556
93	1308	12613
94	1321	12585
95	1333	12560
96	1347	12541
97	1360	12517
98	1373	12498
99	1397	12581
100	1411	12566
101	1425	12546
102	1438	12523
103	1450	12496
104	1464	12486
105	1495	12609
106	1509	12597
107	1537	12694
108	1549	12663
109	1561	12633
110	1573	12604
111	1597	12665
112	1610	12642
113	1626	12639
114	1639	12619
115	1652	12595
116	1665	12568
117	1689	12630
118	1702	12605
119	1716	12587
120	1730	12567
121	1742	12543
122	1755	12516
123	1768	12493
124	1780	12464
125	1793	12438
126	1806	12419
127	1819	12398
128	1833	12377
129	1846	12354
130	1858	12330
131	1871	12307
132	1883	12281
133	1897	12260
134	1915	12273
135	1929	12258
136	1942	12236
137	1960	12246
138	1975	12236
139	1988	12212
140	2001	12191
141	2013	12168
142	2031	12173
143	2044	12152
144	2057	12130
145	2070	12109
146	2090	12133
147	2104	12112
148	2116	12089
149	2129	12068
