iter	Passed	Remaining
0	15	15078
1	29	14649
2	42	14139
3	59	14716
4	70	14039
5	82	13722
6	93	13327
7	106	13249
8	116	12786
9	128	12705
10	140	12645
11	153	12647
12	166	12612
13	179	12617
14	192	12611
15	204	12577
16	217	12580
17	232	12691
18	246	12732
19	260	12740
20	273	12752
21	286	12755
22	300	12756
23	312	12717
24	333	13020
25	347	13005
26	359	12972
27	372	12942
28	386	12929
29	398	12884
30	425	13298
31	438	13251
32	450	13205
33	463	13165
34	476	13126
35	490	13130
36	510	13297
37	527	13350
38	541	13340
39	553	13294
40	566	13247
41	579	13214
42	591	13175
43	604	13143
44	629	13362
45	642	13334
46	656	13314
47	669	13270
48	681	13227
49	693	13177
50	706	13151
51	719	13114
52	731	13072
53	744	13040
54	757	13011
55	769	12976
56	782	12942
57	795	12916
58	807	12884
59	820	12855
60	833	12831
61	846	12806
62	858	12774
63	872	12755
64	885	12736
65	898	12708
66	910	12680
67	922	12649
68	936	12630
69	948	12600
70	960	12571
71	973	12550
72	986	12528
73	999	12504
74	1012	12487
75	1025	12464
76	1037	12439
77	1050	12416
78	1063	12396
79	1076	12375
80	1088	12354
81	1101	12334
82	1115	12320
83	1128	12311
84	1141	12289
85	1154	12272
86	1172	12306
87	1185	12290
88	1199	12275
89	1213	12266
90	1226	12252
91	1239	12235
92	1252	12213
93	1265	12195
94	1278	12182
95	1292	12170
96	1305	12156
97	1327	12218
98	1340	12196
99	1353	12177
100	1365	12156
101	1378	12139
102	1391	12113
103	1403	12091
104	1416	12072
105	1435	12107
106	1449	12093
107	1461	12067
108	1474	12050
109	1486	12030
110	1500	12014
111	1513	11997
112	1525	11974
113	1538	11953
114	1551	11937
115	1564	11919
116	1577	11908
117	1590	11886
118	1603	11869
119	1618	11868
120	1631	11851
121	1644	11838
122	1657	11820
123	1670	11798
124	1682	11780
125	1695	11760
126	1709	11748
127	1721	11730
128	1735	11715
129	1753	11738
130	1766	11717
131	1779	11700
132	1791	11676
133	1804	11658
134	1816	11640
135	1829	11621
136	1842	11607
137	1855	11589
138	1868	11574
139	1881	11554
140	1893	11535
141	1906	11520
142	1919	11503
143	1932	11487
144	1944	11467
145	1957	11451
146	1971	11439
147	1984	11425
148	1996	11404
149	2009	11387
150	2024	11385
151	2039	11377
152	2052	11364
153	2066	11350
154	2079	11336
155	2092	11323
156	2106	11308
157	2118	11292
158	2131	11275
159	2143	11254
160	2156	11238
161	2169	11221
162	2182	11206
163	2194	11188
164	2206	11167
165	2219	11151
166	2232	11134
167	2244	11117
168	2257	11101
169	2270	11084
170	2283	11068
171	2296	11053
172	2308	11034
173	2331	11069
174	2344	11054
175	2357	11037
176	2369	11016
177	2381	10999
178	2394	10983
179	2407	10967
180	2420	10950
181	2432	10933
182	2445	10916
183	2457	10899
184	2471	10885
185	2485	10875
186	2498	10860
187	2513	10857
188	2526	10840
189	2539	10824
190	2551	10808
191	2564	10791
192	2576	10774
193	2590	10763
194	2603	10746
195	2616	10731
196	2629	10718
197	2642	10702
198	2654	10684
199	2667	10669
200	2679	10650
201	2692	10636
202	2704	10619
203	2726	10638
204	2739	10624
205	2752	10607
206	2764	10591
207	2777	10576
208	2789	10559
209	2802	10541
210	2814	10524
211	2826	10507
212	2839	10491
213	2852	10475
214	2865	10461
215	2877	10445
216	2893	10441
217	2906	10426
218	2919	10412
219	2932	10396
220	2944	10380
221	2957	10365
222	2970	10350
223	2983	10335
224	2996	10320
225	3008	10304
226	3020	10287
227	3033	10272
228	3047	10259
229	3060	10246
230	3072	10229
231	3085	10214
232	3097	10197
233	3123	10224
234	3136	10209
235	3148	10193
236	3161	10177
237	3186	10201
238	3199	10186
239	3211	10169
240	3224	10155
241	3237	10141
242	3249	10122
243	3262	10107
244	3274	10092
245	3287	10076
246	3300	10060
247	3312	10043
248	3328	10039
249	3341	10024
250	3353	10007
251	3366	9992
252	3378	9976
253	3392	9962
254	3405	9949
255	3418	9935
256	3431	9920
257	3443	9904
258	3456	9887
259	3468	9873
260	3481	9856
261	3494	9842
262	3507	9827
263	3519	9812
264	3531	9795
265	3544	9780
266	3557	9765
267	3572	9757
268	3585	9742
269	3603	9742
270	3616	9727
271	3633	9724
272	3646	9709
273	3658	9693
274	3671	9678
275	3683	9662
276	3696	9648
277	3709	9633
278	3721	9616
279	3740	9617
280	3752	9602
281	3765	9587
282	3778	9572
283	3805	9594
284	3818	9580
285	3835	9576
286	3848	9559
287	3860	9544
288	3873	9529
289	3886	9515
290	3899	9500
291	3912	9486
292	3925	9472
293	3938	9458
294	3951	9443
295	3964	9428
296	3976	9412
297	3994	9410
298	4007	9395
299	4020	9380
300	4032	9365
301	4045	9350
302	4057	9334
303	4070	9319
304	4082	9303
305	4095	9288
306	4108	9273
307	4120	9257
308	4133	9242
309	4145	9227
310	4158	9212
311	4178	9213
312	4190	9198
313	4207	9192
314	4220	9177
315	4232	9162
316	4256	9170
317	4269	9156
318	4282	9142
319	4295	9127
320	4307	9112
321	4328	9113
322	4341	9098
323	4353	9084
324	4366	9068
325	4378	9053
326	4391	9038
327	4404	9023
328	4419	9012
329	4434	9004
330	4447	8988
331	4466	8985
332	4478	8969
333	4491	8955
334	4503	8940
335	4516	8924
336	4528	8908
337	4555	8921
338	4568	8907
339	4580	8890
340	4592	8875
341	4604	8859
342	4617	8845
343	4630	8829
344	4642	8814
345	4655	8799
346	4668	8784
347	4679	8768
348	4693	8754
349	4705	8739
350	4718	8725
351	4731	8710
352	4744	8695
353	4756	8679
354	4768	8664
355	4784	8655
356	4798	8642
357	4813	8631
358	4827	8620
359	4841	8606
360	4855	8595
361	4870	8583
362	4884	8571
363	4901	8563
364	4915	8551
365	4930	8541
366	4945	8530
367	4960	8518
368	4989	8531
369	5001	8516
370	5014	8501
371	5026	8485
372	5039	8470
373	5051	8455
374	5064	8440
375	5076	8424
376	5089	8409
377	5101	8395
378	5114	8379
379	5126	8364
380	5139	8350
381	5153	8337
382	5165	8321
383	5179	8308
384	5191	8292
385	5213	8292
386	5226	8278
387	5239	8263
388	5251	8247
389	5263	8233
390	5276	8218
391	5288	8203
392	5301	8188
393	5314	8173
394	5327	8159
395	5340	8145
396	5353	8130
397	5365	8115
398	5378	8101
399	5390	8086
400	5404	8072
401	5417	8058
402	5430	8044
403	5443	8029
404	5455	8015
405	5468	8000
406	5480	7985
407	5493	7970
408	5505	7955
409	5519	7942
410	5531	7927
411	5544	7912
412	5556	7898
413	5569	7883
414	5581	7868
415	5596	7857
416	5610	7844
417	5627	7835
418	5640	7820
419	5658	7813
420	5670	7798
421	5683	7784
422	5696	7769
423	5708	7755
424	5721	7740
425	5733	7725
426	5746	7710
427	5758	7695
428	5770	7681
429	5783	7667
430	5796	7653
431	5809	7638
432	5823	7625
433	5835	7610
434	5848	7596
435	5861	7582
436	5874	7567
437	5889	7556
438	5901	7541
439	5914	7527
440	5926	7512
441	5939	7498
442	5952	7484
443	5966	7471
444	5978	7456
445	5990	7441
446	6002	7426
447	6015	7411
448	6027	7397
449	6040	7382
450	6052	7368
451	6066	7354
452	6078	7339
453	6091	7326
454	6104	7311
455	6117	7297
456	6129	7282
457	6142	7268
458	6154	7254
459	6166	7239
460	6179	7224
461	6191	7210
462	6204	7195
463	6216	7180
464	6228	7166
465	6241	7152
466	6254	7138
467	6266	7123
468	6279	7109
469	6291	7095
470	6303	7080
471	6318	7067
472	6330	7053
473	6342	7038
474	6355	7024
475	6377	7020
476	6390	7006
477	6402	6992
478	6415	6977
479	6427	6963
480	6440	6949
481	6453	6935
482	6466	6921
483	6478	6906
484	6490	6891
485	6504	6879
486	6517	6865
487	6535	6857
488	6548	6843
489	6560	6828
490	6573	6814
491	6585	6799
492	6598	6785
493	6610	6770
494	6623	6756
495	6635	6742
496	6647	6727
497	6659	6713
498	6671	6698
499	6683	6683
500	6696	6669
501	6709	6656
502	6722	6642
503	6734	6627
504	6746	6613
505	6765	6604
506	6777	6590
507	6796	6582
508	6810	6569
509	6823	6555
510	6835	6541
511	6848	6527
512	6860	6512
513	6873	6498
514	6886	6485
515	6899	6471
516	6916	6461
517	6931	6449
518	6945	6437
519	6958	6422
520	6971	6409
521	6983	6395
522	6996	6380
523	7009	6367
524	7021	6352
525	7038	6342
526	7051	6328
527	7063	6313
528	7075	6299
529	7097	6294
530	7110	6279
531	7122	6265
532	7135	6251
533	7147	6237
534	7160	6223
535	7172	6208
536	7184	6194
537	7218	6199
538	7232	6186
539	7245	6171
540	7257	6157
541	7270	6143
542	7282	6129
543	7295	6115
544	7308	6101
545	7320	6087
546	7333	6073
547	7346	6059
548	7364	6049
549	7376	6035
550	7388	6021
551	7401	6006
552	7413	5992
553	7426	5978
554	7438	5964
555	7450	5950
556	7463	5936
557	7476	5921
558	7488	5908
559	7501	5894
560	7514	5880
561	7526	5865
562	7538	5851
563	7551	5837
564	7563	5822
565	7575	5808
566	7587	5794
567	7600	5780
568	7612	5766
569	7625	5752
570	7638	5738
571	7650	5724
572	7662	5710
573	7675	5696
574	7687	5682
575	7700	5668
576	7714	5655
577	7729	5643
578	7741	5629
579	7754	5615
580	7767	5601
581	7779	5587
582	7792	5573
583	7804	5559
584	7816	5545
585	7844	5542
586	7857	5528
587	7870	5514
588	7882	5500
589	7895	5486
590	7907	5472
591	7920	5458
592	7933	5445
593	7946	5431
594	7959	5417
595	7971	5403
596	7983	5389
597	7996	5375
598	8008	5361
599	8021	5347
600	8033	5333
601	8046	5319
602	8059	5306
603	8072	5292
604	8084	5278
605	8097	5264
606	8109	5250
607	8122	5236
608	8135	5222
609	8146	5208
610	8158	5194
611	8171	5180
612	8184	5166
613	8196	5153
614	8209	5139
615	8221	5125
616	8234	5111
617	8248	5098
618	8275	5093
619	8289	5080
620	8301	5066
621	8321	5056
622	8334	5043
623	8346	5029
624	8359	5015
625	8371	5001
626	8384	4987
627	8396	4973
628	8411	4961
629	8426	4948
630	8441	4936
631	8455	4923
632	8469	4910
633	8483	4897
634	8497	4884
635	8510	4871
636	8525	4858
637	8537	4844
638	8551	4831
639	8564	4817
640	8577	4804
641	8590	4790
642	8603	4776
643	8616	4763
644	8641	4755
645	8655	4743
646	8669	4729
647	8682	4716
648	8695	4702
649	8709	4689
650	8722	4676
651	8736	4663
652	8750	4649
653	8763	4636
654	8777	4623
655	8794	4611
656	8808	4598
657	8821	4585
658	8834	4571
659	8848	4558
660	8861	4544
661	8874	4530
662	8887	4517
663	8900	4504
664	8914	4490
665	8927	4477
666	8940	4463
667	8953	4449
668	8966	4436
669	8980	4423
670	8996	4411
671	9010	4398
672	9025	4385
673	9038	4371
674	9051	4358
675	9065	4344
676	9079	4331
677	9093	4318
678	9106	4305
679	9119	4291
680	9132	4278
681	9147	4265
682	9160	4251
683	9174	4238
684	9187	4224
685	9201	4211
686	9214	4198
687	9227	4184
688	9240	4171
689	9253	4157
690	9266	4143
691	9279	4130
692	9292	4116
693	9305	4102
694	9318	4089
695	9330	4075
696	9343	4061
697	9356	4048
698	9369	4034
699	9381	4020
700	9394	4007
701	9407	3993
702	9421	3980
703	9433	3966
704	9446	3952
705	9459	3939
706	9471	3925
707	9483	3911
708	9496	3897
709	9519	3888
710	9532	3874
711	9545	3860
712	9557	3847
713	9570	3833
714	9583	3820
715	9596	3806
716	9613	3794
717	9625	3780
718	9638	3767
719	9651	3753
720	9664	3739
721	9676	3726
722	9689	3712
723	9701	3698
724	9714	3684
725	9726	3670
726	9738	3656
727	9751	3643
728	9764	3629
729	9777	3616
730	9790	3602
731	9802	3588
732	9814	3575
733	9826	3561
734	9839	3547
735	9851	3533
736	9865	3520
737	9877	3506
738	9889	3492
739	9902	3479
740	9914	3465
741	9927	3451
742	9940	3438
743	9952	3424
744	9965	3410
745	9978	3397
746	9990	3383
747	10003	3370
748	10016	3356
749	10028	3342
750	10041	3329
751	10054	3315
752	10067	3302
753	10080	3288
754	10092	3275
755	10105	3261
756	10117	3247
757	10130	3234
758	10142	3220
759	10155	3207
760	10170	3194
761	10188	3182
762	10201	3168
763	10214	3155
764	10229	3142
765	10244	3129
766	10259	3116
767	10273	3103
768	10287	3090
769	10306	3078
770	10325	3066
771	10350	3057
772	10399	3053
773	10418	3041
774	10433	3029
775	10448	3016
776	10463	3002
777	10477	2989
778	10496	2977
779	10510	2964
780	10522	2950
781	10535	2937
782	10547	2923
783	10563	2910
784	10576	2896
785	10589	2883
786	10603	2869
787	10617	2856
788	10631	2843
789	10646	2830
790	10740	2837
791	10768	2828
792	10785	2815
793	10803	2802
794	10820	2790
795	10836	2777
796	10854	2764
797	10870	2751
798	10886	2738
799	10901	2725
800	10914	2711
801	10928	2698
802	10941	2684
803	10956	2671
804	10971	2657
805	10986	2644
806	10999	2630
807	11013	2617
808	11026	2603
809	11041	2590
810	11059	2577
811	11074	2564
812	11089	2550
813	11104	2537
814	11119	2524
815	11138	2511
816	11152	2498
817	11166	2484
818	11181	2471
819	11195	2457
820	11208	2443
821	11228	2431
822	11242	2417
823	11256	2404
824	11271	2390
825	11285	2377
826	11305	2364
827	11320	2351
828	11335	2338
829	11348	2324
830	11362	2310
831	11376	2297
832	11390	2283
833	11403	2269
834	11417	2256
835	11431	2242
836	11444	2228
837	11460	2215
838	11477	2202
839	11492	2189
840	11507	2175
841	11520	2161
842	11534	2148
843	11550	2134
844	11566	2121
845	11594	2110
846	11608	2096
847	11622	2083
848	11637	2069
849	11651	2056
850	11665	2042
851	11679	2028
852	11691	2014
853	11704	2001
854	11730	1989
855	11743	1975
856	11756	1961
857	11769	1947
858	11791	1935
859	11804	1921
860	11818	1907
861	11831	1894
862	11845	1880
863	11859	1866
864	11875	1853
865	11890	1839
866	11906	1826
867	11921	1812
868	11936	1799
869	11952	1785
870	11974	1773
871	11990	1760
872	12003	1746
873	12018	1732
874	12032	1718
875	12047	1705
876	12062	1691
877	12077	1678
878	12094	1664
879	12110	1651
880	12126	1637
881	12140	1624
882	12156	1610
883	12171	1597
